Participant ID:,Total score
1.0,0.75
3.0,0.5625
4.0,0.3125
14.0,0.5
16.0,0.5
19.0,0.8125
25.0,0.625
31.0,0.75
35.0,0.0625
36.0,0.75
45.0,0.8125
47.0,0.0
2.0,0.3888888888888889
6.0,0.0
8.0,0.0
9.0,0.4444444444444444
15.0,0.6666666666666666
17.0,0.0
20.0,0.8333333333333334
26.0,1.0
30.0,1.0
34.0,0.16666666666666666
37.0,0.7777777777777778
40.0,0.8333333333333334
43.0,0.7777777777777778
46.0,0.5555555555555556
5.0,0.75
10.0,0.875
12.0,0.5625
22.0,1.0
24.0,0.75
27.0,0.8125
29.0,1.0
33.0,0.1875
39.0,0.625
43.0,0.875
7.0,0.45
11.0,0.2
13.0,0.45
18.0,0.3
21.0,0.65
23.0,0.4
28.0,0.8
32.0,0.0
37.0,0.8
41.0,0.65
42.0,0.45
