Participant ID:,Total score,Correct answers
1.0,0.75,0.875
3.0,0.5625,0.75
4.0,0.3125,0.625
14.0,0.5,0.75
16.0,0.5,0.75
19.0,0.8125,0.875
25.0,0.625,0.75
31.0,0.75,0.875
35.0,0.0625,0.5
36.0,0.75,0.875
45.0,0.8125,0.875
47.0,0.0,0.5
2.0,0.3888888888888889,0.6666666666666666
6.0,0.0,0.1111111111111111
8.0,0.0,0.3333333333333333
9.0,0.4444444444444444,0.6666666666666666
15.0,0.6666666666666666,0.7777777777777778
17.0,0.0,0.4444444444444444
20.0,0.8333333333333334,0.8888888888888888
26.0,1.0,1.0
30.0,1.0,1.0
34.0,0.16666666666666666,0.5555555555555556
37.0,0.7777777777777778,0.8888888888888888
40.0,0.8333333333333334,0.8888888888888888
43.0,0.7777777777777778,0.8888888888888888
46.0,0.5555555555555556,0.7777777777777778
5.0,0.75,0.875
10.0,0.875,0.875
12.0,0.5625,0.75
22.0,1.0,1.0
24.0,0.75,0.875
27.0,0.8125,0.875
29.0,1.0,1.0
33.0,0.1875,0.5
39.0,0.625,0.75
43.0,0.875,0.875
7.0,0.45,0.7
11.0,0.2,0.6
13.0,0.45,0.7
18.0,0.3,0.6
21.0,0.65,0.8
23.0,0.4,0.7
28.0,0.8,0.9
32.0,0.0,0.4
37.0,0.8,0.9
41.0,0.65,0.8
42.0,0.45,0.7
